City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
293,avera,33.194,-82.5271,303.36,39,65,3.44,US,1651685430
294,dakar,14.6937,-17.4441,302.64,83,20,4.12,SN,1651685430
295,kadoma,34.7333,135.5833,289.14,69,91,1.54,JP,1651685431
296,nemuro,43.3236,145.575,275.61,83,32,4.62,JP,1651685432
297,itaituba,-4.2761,-55.9836,304.24,66,40,5.14,BR,1651685409
298,carutapera,-1.195,-46.02,301.27,80,49,2.83,BR,1651685433
299,dodge city,37.7528,-100.0171,282.73,94,100,5.14,US,1651685434
300,aykhal,66.0,111.5,264.01,91,100,1.73,RU,1651685435
301,skibbereen,51.55,-9.2667,288.77,79,87,4.33,IE,1651685435
302,bogatyye saby,56.0102,50.4483,281.03,85,100,3.59,RU,1651685436
303,kovernino,57.1253,43.8142,275.51,71,45,2.79,RU,1651685437
304,sampit,-2.5333,112.95,296.58,98,100,1.1,ID,1651685438
305,priargunsk,50.3691,119.1012,282.27,44,100,2.23,RU,1651685439
306,gambela,8.25,34.5833,298.94,72,91,1.45,ET,1651685439
307,bad aussee,47.61,13.7824,289.58,100,100,0.89,AT,1651685440
308,halifax,44.6453,-63.5724,287.09,75,75,6.17,CA,1651685277
309,gainesville,29.6516,-82.3248,304.3,55,75,3.6,US,1651685441
310,saint-augustin,51.226,-58.6502,279.06,70,100,5.79,CA,1651685441
311,kandete,-9.15,33.8,288.44,97,91,0.66,TZ,1651685442
312,riyadh,24.6877,46.7219,309.23,10,31,0.64,SA,1651685333
313,joshimath,30.5667,79.5667,290.71,69,74,0.35,IN,1651685443
314,orcopampa,-15.2661,-72.3417,289.27,28,16,2.35,PE,1651685443
315,reinosa,42.9996,-4.138,285.4,84,95,3.14,ES,1651685444
316,atbasar,51.8,68.3333,285.35,78,97,4.69,KZ,1651685444
317,ambilobe,-13.2,49.05,296.1,86,83,1.87,MG,1651685445
318,sangar,63.9242,127.4739,272.12,98,100,1.63,RU,1651685446
319,banda aceh,5.5577,95.3222,299.86,78,94,4.16,ID,1651685446
320,aktyubinskiy,54.8137,52.8056,282.39,86,98,4.02,RU,1651685448
321,nouakchott,18.0858,-15.9785,300.11,64,3,6.79,MR,1651685431
322,rio grande,-32.035,-52.0986,295.21,70,4,6.16,BR,1651685448
323,calbuco,-41.768,-73.1273,287.71,91,100,2.83,CL,1651685449
324,pathum thani,14.0833,100.6,302.05,74,20,2.06,TH,1651685449
325,arnold,53.0,-1.1333,287.18,78,85,5.76,GB,1651685365
326,loandjili,-4.7561,11.8578,299.48,90,96,3.62,CG,1651685450
327,orshanka,56.9161,47.8933,278.1,75,97,2.77,RU,1651685451
328,taree,-31.9,152.4667,289.32,100,88,0.0,AU,1651685451
329,kavaratti,10.5669,72.642,303.01,70,80,4.44,IN,1651685452
330,masuguru,-11.3667,38.4167,294.71,77,96,1.48,TZ,1651685452
331,tombouctou,20.0,-3.0,310.06,10,100,4.43,ML,1651685453
332,weligama,5.9667,80.4167,300.2,86,69,5.06,LK,1651685453
333,baikunthpur,23.25,82.55,301.22,32,45,0.55,IN,1651685453
334,banswara,23.55,74.45,305.88,18,0,2.08,IN,1651685454
335,richards bay,-28.783,32.0377,293.68,87,0,3.22,ZA,1651685370
336,junnar,19.2,73.8833,299.26,44,0,3.36,IN,1651685455
337,vestmanna,62.1564,-7.1664,278.66,87,100,6.17,FO,1651685456
338,muravlenko,63.7898,74.523,277.63,81,100,10.37,RU,1651685457
339,vila,42.0304,-8.1588,291.32,44,56,2.82,PT,1651685457
340,cockburn town,21.4612,-71.1419,299.25,77,40,6.83,TC,1651685458
341,tiznit,29.5833,-9.5,289.5,62,0,4.79,MA,1651685458
342,okato,-39.2,173.8833,284.77,90,11,1.67,NZ,1651685459
343,coahuayana,18.7333,-103.6833,305.29,42,56,3.58,MX,1651685459
344,onguday,50.75,86.15,279.79,61,67,0.11,RU,1651685234
345,fairbanks,64.8378,-147.7164,280.88,56,0,0.45,US,1651685460
346,coquimbo,-29.9533,-71.3436,288.0,77,100,2.57,CL,1651685201
347,nicosia,35.1667,33.3667,292.98,52,40,8.75,CY,1651685256
348,mentana,42.0349,12.6424,291.94,67,20,3.09,IT,1651685461
349,pochutla,15.7432,-96.4661,306.38,38,87,3.68,MX,1651685462
350,sinnamary,5.3833,-52.95,296.73,96,100,0.99,GF,1651685462
351,isangel,-19.55,169.2667,297.71,81,0,1.77,VU,1651685362
352,hofn,64.2539,-15.2082,279.16,61,75,4.63,IS,1651685463
353,ibbenburen,52.2667,7.7333,290.81,41,0,3.09,DE,1651685383
354,qandala,11.472,49.8728,304.15,57,6,2.75,SO,1651685464
355,mae sai,20.4335,99.8762,295.29,84,37,0.76,TH,1651685465
356,nyurba,63.2842,118.3319,269.68,97,81,0.36,RU,1651685369
357,doaba,33.4244,70.7364,296.18,47,24,1.12,PK,1651685466
358,siirt,37.9326,41.9403,288.44,84,59,2.45,TR,1651685262
359,cap malheureux,-19.9842,57.6142,298.97,74,4,4.47,MU,1651685467
360,lojt kirkeby,55.0833,9.4667,284.76,77,99,4.02,DK,1651685467
361,lodwar,3.1191,35.5973,304.74,38,27,6.18,KE,1651685468
